1	figure-01.png	Figure 1: Leaderboard of SaaS-Bench . We report overall checkpoint scores (bar height) and resolved scores for 14 frontier models across 106 long-horizon SaaS tasks. † donate text-only models.	https://arxiv.org/html/2605.15777v2/x2.png
2	figure-02.png	Figure 2: SaaS-Bench provides a realistic benchmark for evaluating CUAs in deployable SaaS environments. It consists of 23 real SaaS systems organized into six professional domains, supporting 106 tasks that reflect real-world SaaS workflows.	https://arxiv.org/html/2605.15777v2/x3.png
4	figure-04.png	Figure 3: Overview of SaaS-Bench . Agents receive natural-language task instructions and interact with locally deployed SaaS applications through browser-use. After execution, task outcomes are evaluated using verification tools, which are aggregated into resolved score and checkpoint score.	https://arxiv.org/html/2605.15777v2/x4.png
5	figure-05.png	(a) Nested Task Composition	https://arxiv.org/html/2605.15777v2/x5.png
6	figure-06.png	(b) Apps per Task & Nested Task Composition	https://arxiv.org/html/2605.15777v2/x6.png
7	figure-07.png	Figure 5: Task synthesis pipeline of SaaS-Bench . Starting from domain-specific task seeds and occupational roles, SaaS-Bench synthesizes candidate tasks through an iterative Builder–Challenger–Refiner loop for template generation and instantiation. The generated tasks are then filtered by static rubric-based checking and execution check, ensuring that the final tasks are realistic, executable, and verifiable.	https://arxiv.org/html/2605.15777v2/x7.png
9	figure-09.png	Figure 6: Pass@ k k average best scores ( k = 1 , 2 , 3 k=1,2,3 ) for four models on SaaS-Bench across three evaluation splits: text-only, multimodal, and overall. Each bar is divided into three segments: the dark base represents pass@1, the mid-tone segment shows the incremental gain from pass@1 to pass@2, and the lightest segment shows the further gain to pass@3.	https://arxiv.org/html/2605.15777v2/x8.png
10	figure-10.png	Figure 7: Left: Distribution of low-level actions emitted by Claude Opus 4.6 over the full benchmark; Right: categorization of failed verification checks by failure mode. Together the two panels link execution behaviour to the dominant failure types.	https://arxiv.org/html/2605.15777v2/x9.png
11	figure-11.png	Figure 8: Per-task score as a function of three structural complexity measures: ( Left ) number of distinct SaaS apps touched by the task, ( Middle ) operation length (by Opus 4.6), and ( Right ) number of verification checkpoints. Each dot is a task; the black line is the binned mean with ± \pm 1 SEM ribbon.	https://arxiv.org/html/2605.15777v2/x10.png
12	figure-12.png	Figure 9: Per-domain composition of agent behaviour errors observed in the trajectories of Opus 4.6.	https://arxiv.org/html/2605.15777v2/x11.png
13	figure-13.png	Figure 10: Average pass rate of verification checkpoints stratified by their position within the task.	https://arxiv.org/html/2605.15777v2/x12.png
14	figure-14.png	Figure 11: Steps per passed checkpoint and overall pass rate for four representative models.	https://arxiv.org/html/2605.15777v2/x13.png